Station,lat,long
11th & S St NW,38.913761,-77.027025
Barcroft Community Center,38.850336577884455,-77.10098862648009
24th & R St NE / National Arboretum,38.91263,-76.971923
14th & D St SE,38.8840005,-76.98602733333334
Lyttonsville Rd & Lyttonsville Pl,38.999679,-77.051168
Iwo Jima Memorial / Meade & 14th St N,38.889920000000004,-77.071301
Georgia Ave & Kennedy St NW,38.95674,-77.02790999999999
Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,38.856573499999996,-77.1117095
Rhode Island & Connecticut Ave NW,38.90599569999115,-77.03980207443237
3rd & H St NW,38.899408,-77.015289
Oklahoma Ave & D St NE,38.894474,-76.974828
Bladensburg Rd & Benning Rd NE,38.900413,-76.982872
11th & O St NW,38.908429999999996,-77.02714
Clarendon Blvd & N Fillmore St,38.888074333333336,-77.09317016666667
Central Library / Quincy St & 10th St N,38.88397,-77.10783
Clarendon Metro / Wilson Blvd & N Highland St,38.887859999999996,-77.094875
7th & T St NW,38.9155,-77.0222
3rd & H St NE,38.900412,-77.001949
10th & Florida Ave NW,38.920392166666666,-77.025692
Kennedy Center,38.897293,-77.05556999999999
1st & Rhode Island Ave NW,38.915417,-77.012289
Columbia Pike & S Walter Reed Dr,38.862478,-77.08659899999999
20th St & Virginia Ave NW,38.894721999999994,-77.045128
18th & C St NW,38.893511,-77.04154399999999
Eastern Market / 7th & North Carolina Ave SE,38.886952,-76.996806
S George Mason & Four Mile Run Dr,38.852247999999996,-77.10502199999999
Washington & Independence Ave SW/HHS,38.886978000000006,-77.013769
Washington Blvd & N Frederick St,38.884828999999996,-77.12767099999999
14th St & Spring Rd NW,38.93741333333333,-77.03285983333333
18th & M St NW,38.905066874553135,-77.04177886247633
10th & Monroe St NE,38.932514000000005,-76.992889
11th & Park Rd NW,38.93132185874559,-77.02824711799622
Crystal Dr & 27th St S,38.848465999999995,-77.051514
Rosedale Rec Center,38.897808000000005,-76.97963399999999
12th & L St NW,38.903819,-77.0284
Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,38.9149815,-77.0077475
Medical Center Metro ,38.9994185,-77.0979305
Potomac Ave & Half St SW,38.86965266666667,-77.01078133333333
20th & Columbia Rd NW,38.918036,-77.045487
Montgomery & East Ln,38.98352083333333,-77.0951775
Army Navy Dr & S Joyce St,38.8637,-77.0633
Four Mile Run Dr & S Walter Reed Dr,38.847359999999995,-77.095431
Fern St & Army Navy Dr,38.864838,-77.056873
Crystal Dr & 20th St S,38.856425,-77.04923199999999
West Hyattsville Metro,38.955349,-76.96808399999999
8th & Eye St SE / Barracks Row,38.8792,-76.9953
Wilson Blvd & N Oak St,38.895068,-77.07386
Columbia Pike & S Orme St,38.867262,-77.072315
Wilson Blvd & N Franklin Rd,38.8904,-77.0889
Offutt Ln & Chevy Chase Dr,38.977092999999996,-77.094589
S Glebe Rd & Potomac Ave,38.8426,-77.0502
Georgetown Harbor / 30th St NW,38.902314000000004,-77.05914150000001
Wilson Blvd & N Troy St,38.892556,-77.082089
Cordell & Norfolk Ave,38.989540000000005,-77.098029
Lincoln Memorial,38.888255,-77.0494365
Thomas Circle,38.9059,-77.0325
Joyce St & 16th St S,38.859249,-77.06328783333333
14th & D St NW / Ronald Reagan Building,38.894514,-77.031617
1st & N St  SE,38.8743,-77.0057
18th St & S Eads St,38.85725,-77.05332
36th & Calvert St NW / Glover Park,38.922581,-77.070334
King Greenleaf Rec Center,38.876211,-77.012443
M St & Pennsylvania Ave NW,38.905126,-77.056887
Reservoir Rd & 38th St NW,38.912672,-77.07435233333334
7th & R St NW / Shaw Library,38.912719,-77.022155
4th & W St NE,38.919048,-77.00067516666667
Eads St & 12th St S,38.862788,-77.054417
Connecticut Ave & McKinley St NW,38.964543509245885,-77.07513481378554
Long Bridge Park / Long Bridge Dr & 6th St S,38.865553000000006,-77.05003
15th & P St NW,38.909867999999996,-77.034421
Vermont Ave & I St NW,38.901136451737045,-77.03445106744765
Market Square / King St & Royal St,38.804718,-77.043363
19th & East Capitol St SE,38.8896,-76.9769
Riggs Rd & East West Hwy,38.9725,-76.9807
Windham Ln & Amherst Ave,39.032029,-77.04735
7th & E St SW,38.88345,-77.021741
Fessenden St & Wisconsin Ave NW,38.954812,-77.082426
Rhode Island Ave Metro,38.920682,-76.995876
New York Ave & Hecht Ave NE,38.91566816666667,-76.98371266666666
Mount Vernon Ave & Four Mile Run Park,38.843422,-77.06401600000001
Maryland Ave & 17th St NE,38.901934999999995,-76.978627
Saint Asaph St & Madison St,38.812718,-77.044097
18th & Monroe St NE,38.93293,-76.979517
Tysons One Pl & Chain Bridge Rd,38.919475,-77.221179
Grandview & Blueridge Ave,39.0433015,-77.05307583333334
Amherst Ave & Prichard Rd,39.035965000000004,-77.048395
17th & Upshur St NW,38.942146,-77.038684
Rolfe St & 9th St S,38.86647666666666,-77.07610516666666
Court House Metro / 15th St & N Uhle St,38.890612,-77.084801
Hardy Rec Center,38.909686,-77.08554583333333
15th St & N Scott St,38.89051766666667,-77.08088466666666
Pleasant St & MLK Ave SE,38.863896999999994,-76.990037
Oklahoma Ave & Benning Rd NE,38.8974996,-76.9695094
17th & Corcoran St NW,38.9121,-77.0387
17th St & Independence Ave SW,38.888096999999995,-77.038325
Dennis Ave & Amherst Ave,39.025387196236316,-77.04456299543382
19th & K St NW,38.902204,-77.04337
Wilson Blvd & N Edgewood St,38.889,-77.0925
14th & Upshur St NW,38.942541166666665,-77.03263183333334
Wilson Blvd & N Quincy St,38.880012,-77.107854
Walter Reed Dr & 8th St S,38.86612,-77.08787
14th & Luzon St NW,38.969455833333335,-77.0334755
White Flint Metro,39.04753,-77.11287
18th St & Pennsylvania Ave NW,38.89944283333333,-77.04179350000001
Carlin Springs Rd & N Thomas St,38.876695,-77.11298199999999
Arlington Blvd & Fillmore St,38.873754999999996,-77.089233
Rhode Island & Montana Ave NE,38.92423866666667,-76.98610683333334
Dunn Loring Metro,38.8828,-77.2283
Kennebec St & 11th St N,38.880992,-77.135271
Woodmont Ave & Strathmore St,38.979875,-77.093522
River Rd & Landy Ln,38.964991999999995,-77.103381
Anacostia Ave & Benning Rd NE / River Terrace ,38.896544,-76.96011999999999
1st St & Potomac Ave SE,38.871840999999996,-77.00591
Norfolk & Rugby Ave,38.990639,-77.100239
Ft Myer Dr & Arlington Blvd,38.890863,-77.074893
Amherst Ave & Elkins St,39.044887,-77.047788
Norfolk Ave & Fairmont St,38.988562,-77.096539
Bethesda Ave & Arlington Rd,38.981103000000004,-77.097426
Montgomery Ave & Waverly St ,38.983838,-77.09221
Eckington Pl & Q St NE,38.910971999999994,-77.00495
Wisconsin Ave & O St NW,38.90857966666667,-77.0637
Pooks Hill Rd & Linden Ave,39.014716,-77.10714300000001
Sunset Hills Rd & Isaac Newton Square,38.951443,-77.340377
Library St & Freedom Dr,38.959633000000004,-77.35874100000001
East Falls Church Metro / Sycamore St & 19th St N,38.885560833333344,-77.1564615
14th & Harvard St NW,38.9268,-77.0322
Wiehle Ave & Reston Station Blvd,38.94660792121498,-77.3393914103508
National Airport,38.852903000000005,-77.045916
Powhatan St & Bashford Ln,38.818748,-77.047783
Harvard St & Adams Mill Rd NW,38.927892166666666,-77.04322583333334
Town Center Pkwy & Bowman Towne Dr,38.962524,-77.361902
Lee Hwy & N Kirkwood Rd,38.895377,-77.09713
Greensboro & Pinnacle Dr,38.92245,-77.23034
Deanwood Rec Center,38.908473,-76.933099
20th & L St NW,38.903584,-77.044789
Jones Branch Drive & Scotts Crossing Rd,38.928502,-77.215624
Division Ave & Foote St NE,38.897407,-76.925907
Benning Branch Library,38.894,-76.947974
Pennsylvania Ave & Park Ave,38.88736033333333,-77.17695883333333
Congress Heights Metro,38.844711,-76.98782299999999
N Quincy St & Glebe Rd,38.876393,-77.10773499999999
53rd & D St SE/C.W. Harris Elementary,38.883318,-76.925315
Lee Hwy & N Woodstock St,38.898301000000004,-77.118009
N Oak St & W Broad St,38.888219166666666,-77.17994683333333
Fairfax Dr & N Randolph St,38.882629,-77.10936600000001
Benning Rd & East Capitol St NE / Benning Rd Metro,38.889934999999994,-76.93723
Riverdale Park Town Center,38.962119,-76.935578
Stadium Armory Metro,38.8855315,-76.97712983333334
Lee Hwy & N Adams St,38.89593,-77.08900600000001
N Veitch St & Key Blvd,38.893237,-77.086063
Key Blvd & N Quinn St,38.896355,-77.078408
3rd & Elm St NW,38.917621999999994,-77.01597
Wisconsin Ave & Brandywine St NW,38.949813,-77.080217
15th & K St NW,38.902,-77.03353
23rd St S & Hayes St,38.853002000000004,-77.059496
Crystal City Metro / 18th St & S Bell St,38.857404962615036,-77.05113172531128
Eads St & 15th St S,38.85903666666667,-77.05329566666667
Baltimore Ave & Jefferson St,38.95548,-76.94013299999999
Clark St & 26th St S,38.850688,-77.05152
Rhode Island Ave & 39th St / Brentwood Arts Exchange,38.93925333333333,-76.95497933333333
Baltimore Ave & Van Buren St / Riverdale Park Station,38.969581,-76.937349
Arlington Blvd & Fairfax Dr,38.88625606692057,-77.08426237106323
Kansas Ave & Longfellow St NW,38.958098,-77.013821
Congressional Ln & E Jefferson St,39.06219,-77.129235
Rockville Metro West,39.084379,-77.146866
47th & Elm St,38.982464,-77.09201183333333
Anacostia Library,38.865784000000005,-76.9784
14th St Heights / 14th & Crittenden St NW,38.947774,-77.032818
Silver Spring Metro / Colesville Rd & Wayne Ave,38.99497266666667,-77.0296345
2nd St & Massachusetts Ave NE,38.8950145,-77.00325016666666
Arlington Blvd & N Queen St,38.889365000000005,-77.077294
3rd & M st SE,38.876823,-77.002161
8th & East Capitol St NE,38.88994683333333,-76.99516216666666
Veterans Pl & Pershing Dr ,38.997510166666665,-77.02395566666667
Philadelphia & Maple Ave,38.98128,-77.011336
Fenton St & Gist Ave,38.989724,-77.023854
Fenton St & New York Ave ,38.985403999999996,-77.02308199999999
Executive Blvd & E Jefferson St,39.04873,-77.1257
19th & E Street NW,38.8952,-77.0436
Rockville Pike & Old Georgetown Rd,39.049765,-77.11368
Radford St & Osage St,38.828437,-77.086031
N Roosevelt St & Roosevelt Blvd,38.878085,-77.153953
