Row,Date,Flight Number,Destination,Delay
508,6/9/19,4988,SJU,56.0
509,6/9/19,4080,SLC,-1.0
510,6/9/19,3532,SMF,23.0
511,6/9/19,3384,STL,1.0
512,6/9/19,3408,STL,9.0
513,6/9/19,4535,STL,5.0
514,6/9/19,5648,STL,1.0
515,6/9/19,1906,TPA,-2.0
516,6/9/19,3373,TPA,0.0
517,6/9/19,4270,TPA,-5.0
518,6/9/19,4511,TPA,-6.0
519,6/9/19,4911,TPA,8.0
520,6/9/19,6623,TPA,26.0
521,6/26/19,585,ABQ,-3.0
522,6/26/19,2452,ABQ,3.0
523,6/26/19,266,ALB,0.0
524,6/26/19,278,ALB,-1.0
525,6/26/19,955,ALB,-3.0
526,6/26/19,1071,ALB,-2.0
527,6/26/19,1085,ALB,-5.0
528,6/26/19,1160,ALB,3.0
529,6/26/19,159,ATL,19.0
530,6/26/19,196,ATL,34.0
531,6/26/19,588,ATL,23.0
532,6/26/19,2168,ATL,9.0
533,6/26/19,2206,ATL,-2.0
534,6/26/19,2357,ATL,9.0
535,6/26/19,513,AUS,21.0
536,6/26/19,2055,AUS,-6.0
537,6/26/19,2198,AUS,-3.0
538,6/26/19,400,BDL,8.0
539,6/26/19,1444,BDL,1.0
540,6/26/19,1529,BDL,0.0
541,6/26/19,2291,BDL,13.0
542,6/26/19,2463,BDL,-1.0
543,6/26/19,1686,BHM,7.0
544,6/26/19,949,BNA,-1.0
545,6/26/19,1807,BNA,-1.0
546,6/26/19,1841,BNA,59.0
547,6/26/19,2037,BNA,-1.0
548,6/26/19,2087,BNA,10.0
549,6/26/19,2582,BNA,8.0
550,6/26/19,345,BOS,-5.0
551,6/26/19,724,BOS,36.0
552,6/26/19,1157,BOS,-6.0
553,6/26/19,1159,BOS,-2.0
554,6/26/19,2143,BOS,-1.0
555,6/26/19,2157,BOS,-2.0
556,6/26/19,2244,BOS,-2.0
557,6/26/19,2292,BOS,-2.0
558,6/26/19,5876,BOS,54.0
559,6/26/19,1318,BUF,-7.0
560,6/26/19,1392,BUF,9.0
561,6/26/19,1551,BUF,3.0
562,6/26/19,1736,BUF,3.0
563,6/26/19,2030,BUF,21.0
564,6/26/19,2296,BUF,-4.0
565,6/26/19,127,CHS,-6.0
566,6/26/19,2469,CHS,-3.0
567,6/26/19,2481,CHS,-5.0
568,6/26/19,2510,CHS,-4.0
569,6/26/19,16,CLE,-5.0
570,6/26/19,2363,CLE,-5.0
571,6/26/19,2604,CLE,19.0
572,6/26/19,2351,CLT,-2.0
573,6/26/19,2401,CLT,18.0
574,6/26/19,5880,CLT,-2.0
575,6/26/19,262,CMH,4.0
576,6/26/19,449,CMH,0.0
577,6/26/19,934,CMH,2.0
578,6/26/19,1726,CMH,0.0
579,6/26/19,1385,CVG,-5.0
580,6/26/19,1681,CVG,-4.0
581,6/26/19,1879,CVG,-1.0
582,6/26/19,801,DAL,-3.0
583,6/26/19,1922,DAL,7.0
584,6/26/19,2502,DAL,0.0
585,6/26/19,3293,DAL,29.0
586,6/26/19,180,DEN,2.0
587,6/26/19,347,DEN,1.0
588,6/26/19,1755,DEN,0.0
589,6/26/19,2219,DEN,1.0
590,6/26/19,5423,DEN,1.0
591,6/26/19,376,DTW,22.0
592,6/26/19,402,DTW,51.0
593,6/26/19,2539,DTW,-1.0
594,6/26/19,2590,ECP,43.0
595,6/26/19,133,FLL,2.0
596,6/26/19,698,FLL,1.0
597,6/26/19,1124,FLL,1.0
598,6/26/19,1494,FLL,36.0
599,6/26/19,1576,FLL,0.0
600,6/26/19,1859,FLL,0.0
601,6/26/19,5878,FLL,-5.0
602,6/26/19,5923,FLL,-4.0
603,6/26/19,1489,GRR,-5.0
604,6/26/19,28,HOU,-1.0
605,6/26/19,1050,HOU,15.0
606,6/26/19,1456,HOU,3.0
607,6/26/19,2340,HOU,15.0
608,6/26/19,2500,HOU,-4.0
609,6/26/19,5837,HOU,7.0
610,6/26/19,681,IND,-3.0
611,6/26/19,1179,IND,-3.0
612,6/26/19,1199,IND,-2.0
613,6/26/19,1471,IND,4.0
614,6/26/19,1247,ISP,-4.0
615,6/26/19,1684,ISP,12.0
616,6/26/19,1984,ISP,2.0
617,6/26/19,2425,ISP,0.0
618,6/26/19,2489,ISP,-4.0
619,6/26/19,498,JAX,-6.0
620,6/26/19,635,JAX,-2.0
621,6/26/19,1552,JAX,-2.0
622,6/26/19,5457,JAX,-2.0
623,6/26/19,302,LAS,15.0
624,6/26/19,1591,LAS,0.0
625,6/26/19,1594,LAS,-1.0
626,6/26/19,2314,LAS,2.0
627,6/26/19,1504,LAX,7.0
628,6/26/19,1917,LAX,0.0
629,6/26/19,2534,LAX,7.0
630,6/26/19,435,MCI,-2.0
631,6/26/19,1708,MCI,27.0
632,6/26/19,5864,MCI,-1.0
633,6/26/19,369,MCO,-5.0
634,6/26/19,496,MCO,-3.0
635,6/26/19,682,MCO,2.0
636,6/26/19,890,MCO,-2.0
637,6/26/19,2309,MCO,1.0
638,6/26/19,2318,MCO,-2.0
639,6/26/19,2435,MCO,7.0
640,6/26/19,2471,MCO,25.0
641,6/26/19,2541,MCO,-5.0
642,6/26/19,5,MDW,61.0
643,6/26/19,187,MDW,-5.0
644,6/26/19,365,MDW,-3.0
645,6/26/19,1066,MDW,49.0
646,6/26/19,2335,MDW,9.0
647,6/26/19,2424,MDW,1.0
648,6/26/19,2552,MDW,8.0
649,6/26/19,2308,MEM,-3.0
650,6/26/19,235,MHT,-2.0
651,6/26/19,314,MHT,-5.0
652,6/26/19,654,MHT,-4.0
653,6/26/19,1125,MHT,-4.0
654,6/26/19,2577,MHT,-6.0
655,6/26/19,5867,MHT,2.0
656,6/26/19,1353,MKE,0.0
657,6/26/19,2174,MKE,3.0
658,6/26/19,2352,MKE,-5.0
659,6/26/19,1151,MSP,-3.0
660,6/26/19,1988,MSP,6.0
661,6/26/19,1677,MSY,-3.0
662,6/26/19,2002,MSY,-3.0
663,6/26/19,2427,MSY,0.0
664,6/26/19,2517,MSY,6.0
665,6/26/19,1641,OAK,9.0
666,6/26/19,857,OKC,-3.0
667,6/26/19,889,ORF,-2.0
668,6/26/19,1049,ORF,9.0
669,6/26/19,1682,ORF,-4.0
670,6/26/19,1855,ORF,105.0
671,6/26/19,5974,ORF,11.0
672,6/26/19,2418,PBI,-1.0
673,6/26/19,2465,PBI,-1.0
674,6/26/19,264,PHX,14.0
675,6/26/19,577,PHX,4.0
676,6/26/19,888,PIT,-3.0
677,6/26/19,1316,PIT,-5.0
678,6/26/19,2056,PIT,19.0
679,6/26/19,398,PVD,39.0
680,6/26/19,552,PVD,-7.0
681,6/26/19,632,PVD,0.0
682,6/26/19,1069,PVD,0.0
683,6/26/19,1229,PVD,3.0
684,6/26/19,1448,PVD,-6.0
685,6/26/19,2343,PVD,1.0
686,6/26/19,213,PWM,-2.0
687,6/26/19,697,PWM,0.0
688,6/26/19,1172,PWM,1.0
689,6/26/19,1683,PWM,21.0
690,6/26/19,696,RDU,-5.0
691,6/26/19,1305,RDU,0.0
692,6/26/19,1434,RDU,-8.0
693,6/26/19,1685,RDU,-4.0
694,6/26/19,2289,RDU,14.0
695,6/26/19,2428,RDU,-4.0
696,6/26/19,5853,RDU,1.0
697,6/26/19,1077,ROC,11.0
698,6/26/19,2320,ROC,24.0
699,6/26/19,2342,ROC,0.0
700,6/26/19,254,RSW,-2.0
701,6/26/19,1317,RSW,-1.0
702,6/26/19,2545,RSW,-2.0
703,6/26/19,1086,SAN,-4.0
704,6/26/19,2525,SAN,-3.0
705,6/26/19,548,SAT,-4.0
706,6/26/19,2319,SAT,3.0
707,6/26/19,105,SDF,-6.0
708,6/26/19,291,SDF,-2.0
709,6/26/19,466,SDF,-4.0
710,6/26/19,5295,SDF,-1.0
711,6/26/19,2438,SEA,222.0
712,6/26/19,2434,SJC,10.0
713,6/26/19,1770,SJU,-1.0
714,6/26/19,2133,SJU,10.0
715,6/26/19,452,SLC,7.0
716,6/26/19,2399,SLC,10.0
717,6/26/19,2398,SMF,10.0
718,6/26/19,686,STL,59.0
719,6/26/19,705,STL,-4.0
720,6/26/19,2477,STL,-4.0
721,6/26/19,5888,STL,-2.0
722,6/26/19,313,TPA,0.0
723,6/26/19,582,TPA,-5.0
724,6/26/19,935,TPA,33.0
725,6/26/19,998,TPA,-2.0
726,6/26/19,1173,TPA,-1.0
727,6/26/19,1680,TPA,-3.0
