"QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","MKT_CARRIER_FL_NUM","OP_UNIQUE_CARRIER","OP_CARRIER_AIRLINE_ID","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW",
2,6,18,2,2019-06-18,"2613","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","1750",130.00,130.00,
2,6,18,2,2019-06-18,"2613","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","2027",119.00,119.00,
2,6,18,2,2019-06-18,"2641","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","0559",-1.00,0.00,
2,6,18,2,2019-06-18,"2679","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","2251",-4.00,0.00,
2,6,18,2,2019-06-18,"2834","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","0758",-2.00,0.00,
2,6,18,2,2019-06-18,"2918","DL",19790,11433,1143302,31295,"DTW",10821,1082106,30852,"BWI","2241",-4.00,0.00,
2,6,19,3,2019-06-19,"346","DL",19790,10821,1082106,30852,"BWI",14869,1486903,34614,"SLC","0725",0.00,0.00,
2,6,19,3,2019-06-19,"875","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","1853",109.00,109.00,
2,6,19,3,2019-06-19,"875","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","2127",100.00,100.00,
2,6,19,3,2019-06-19,"880","DL",19790,10821,1082106,30852,"BWI",13487,1348702,31650,"MSP","0834",-1.00,0.00,
2,6,19,3,2019-06-19,"1101","DL",19790,13487,1348702,31650,"MSP",10821,1082106,30852,"BWI","2039",9.00,9.00,
2,6,19,3,2019-06-19,"1153","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","1115",7.00,7.00,
2,6,19,3,2019-06-19,"1153","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","1419",36.00,36.00,
2,6,19,3,2019-06-19,"1170","DL",19790,10821,1082106,30852,"BWI",14869,1486903,34614,"SLC","1751",-4.00,0.00,
2,6,19,3,2019-06-19,"1189","DL",19790,14869,1486903,34614,"SLC",10821,1082106,30852,"BWI","0951",-4.00,0.00,
2,6,19,3,2019-06-19,"1233","DL",19790,11433,1143302,31295,"DTW",10821,1082106,30852,"BWI","0954",-4.00,0.00,
2,6,19,3,2019-06-19,"1271","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","1411",-1.00,0.00,
2,6,19,3,2019-06-19,"1271","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","1651",0.00,0.00,
2,6,19,3,2019-06-19,"1299","DL",19790,10821,1082106,30852,"BWI",13487,1348702,31650,"MSP","1818",62.00,62.00,
2,6,19,3,2019-06-19,"1299","DL",19790,13487,1348702,31650,"MSP",10821,1082106,30852,"BWI","1253",0.00,0.00,
2,6,19,3,2019-06-19,"1301","DL",19790,10821,1082106,30852,"BWI",13487,1348702,31650,"MSP","0605",-2.00,0.00,
2,6,19,3,2019-06-19,"1339","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","0657",-3.00,0.00,
2,6,19,3,2019-06-19,"1425","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","1213",-1.00,0.00,
2,6,19,3,2019-06-19,"1425","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","1449",-3.00,0.00,
2,6,19,3,2019-06-19,"1451","DL",19790,10821,1082106,30852,"BWI",13487,1348702,31650,"MSP","1210",-3.00,0.00,
2,6,19,3,2019-06-19,"1579","DL",19790,13487,1348702,31650,"MSP",10821,1082106,30852,"BWI","0901",-4.00,0.00,
2,6,19,3,2019-06-19,"1625","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","2130",80.00,80.00,
2,6,19,3,2019-06-19,"1637","DL",19790,10821,1082106,30852,"BWI",11433,1143302,31295,"DTW","2042",32.00,32.00,
2,6,19,3,2019-06-19,"1637","DL",19790,11433,1143302,31295,"DTW",10821,1082106,30852,"BWI","1823",43.00,43.00,
2,6,19,3,2019-06-19,"1737","DL",19790,10821,1082106,30852,"BWI",11433,1143302,31295,"DTW","0959",-1.00,0.00,
2,6,19,3,2019-06-19,"1737","DL",19790,11433,1143302,31295,"DTW",10821,1082106,30852,"BWI","0724",-1.00,0.00,
2,6,19,3,2019-06-19,"1860","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","0941",-3.00,0.00,
2,6,19,3,2019-06-19,"1860","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","1217",-7.00,0.00,
2,6,19,3,2019-06-19,"1906","DL",19790,10821,1082106,30852,"BWI",11433,1143302,31295,"DTW","1825",22.00,22.00,
2,6,19,3,2019-06-19,"1906","DL",19790,11433,1143302,31295,"DTW",10821,1082106,30852,"BWI","1544",4.00,4.00,
2,6,19,3,2019-06-19,"1924","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","2215",49.00,49.00,
2,6,19,3,2019-06-19,"1937","DL",19790,10821,1082106,30852,"BWI",11433,1143302,31295,"DTW","0615",0.00,0.00,
2,6,19,3,2019-06-19,"1970","DL",19790,10821,1082106,30852,"BWI",11433,1143302,31295,"DTW","1317",-3.00,0.00,
2,6,19,3,2019-06-19,"1975","DL",19790,13487,1348702,31650,"MSP",10821,1082106,30852,"BWI","1831",29.00,29.00,
2,6,19,3,2019-06-19,"2015","DL",19790,14869,1486903,34614,"SLC",10821,1082106,30852,"BWI","2246",0.00,0.00,
2,6,19,3,2019-06-19,"2024","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","1857",20.00,20.00,
2,6,19,3,2019-06-19,"2525","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","0830",-7.00,0.00,
2,6,19,3,2019-06-19,"2525","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","1107",-3.00,0.00,
2,6,19,3,2019-06-19,"2572","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","0902",2.00,2.00,
2,6,19,3,2019-06-19,"2608","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","0726",0.00,0.00,
2,6,19,3,2019-06-19,"2608","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","1005",5.00,5.00,
2,6,19,3,2019-06-19,"2613","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","1709",89.00,89.00,
2,6,19,3,2019-06-19,"2613","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","2020",112.00,112.00,
2,6,19,3,2019-06-19,"2641","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","0619",19.00,19.00,
2,6,25,2,2019-06-25,"875","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","1700",-4.00,0.00,
2,6,25,2,2019-06-25,"875","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","1939",-8.00,0.00,
2,6,25,2,2019-06-25,"880","DL",19790,10821,1082106,30852,"BWI",13487,1348702,31650,"MSP","0834",-1.00,0.00,
2,6,25,2,2019-06-25,"1101","DL",19790,13487,1348702,31650,"MSP",10821,1082106,30852,"BWI","2026",-4.00,0.00,
2,6,25,2,2019-06-25,"1153","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","1115",7.00,7.00,
2,6,25,2,2019-06-25,"1153","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","1355",12.00,12.00,
2,6,25,2,2019-06-25,"1170","DL",19790,10821,1082106,30852,"BWI",14869,1486903,34614,"SLC","1751",-4.00,0.00,
2,6,25,2,2019-06-25,"1189","DL",19790,14869,1486903,34614,"SLC",10821,1082106,30852,"BWI","0951",-4.00,0.00,
2,6,25,2,2019-06-25,"1233","DL",19790,11433,1143302,31295,"DTW",10821,1082106,30852,"BWI","1021",23.00,23.00,
2,6,25,2,2019-06-25,"1271","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","1415",3.00,3.00,
2,6,25,2,2019-06-25,"1271","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","1652",1.00,1.00,
2,6,25,2,2019-06-25,"1299","DL",19790,10821,1082106,30852,"BWI",13487,1348702,31650,"MSP","1713",-3.00,0.00,
2,6,25,2,2019-06-25,"1299","DL",19790,13487,1348702,31650,"MSP",10821,1082106,30852,"BWI","1255",2.00,2.00,
2,6,25,2,2019-06-25,"1301","DL",19790,10821,1082106,30852,"BWI",13487,1348702,31650,"MSP","0602",-5.00,0.00,
2,6,25,2,2019-06-25,"1339","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","0710",10.00,10.00,
2,6,25,2,2019-06-25,"1425","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","1213",-1.00,0.00,
2,6,25,2,2019-06-25,"1425","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","1450",-2.00,0.00,
2,6,25,2,2019-06-25,"1451","DL",19790,10821,1082106,30852,"BWI",13487,1348702,31650,"MSP","1239",26.00,26.00,
2,6,25,2,2019-06-25,"1579","DL",19790,13487,1348702,31650,"MSP",10821,1082106,30852,"BWI","0901",-4.00,0.00,
2,6,15,6,2019-06-15,"1579","DL",19790,13487,1348702,31650,"MSP",10821,1082106,30852,"BWI","0859",-6.00,0.00,
2,6,15,6,2019-06-15,"1625","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","2007",-3.00,0.00,
2,6,15,6,2019-06-15,"1737","DL",19790,10821,1082106,30852,"BWI",11433,1143302,31295,"DTW","0953",-7.00,0.00,
2,6,15,6,2019-06-15,"1860","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","0944",0.00,0.00,
2,6,15,6,2019-06-15,"1906","DL",19790,10821,1082106,30852,"BWI",11433,1143302,31295,"DTW","1758",-5.00,0.00,
2,6,15,6,2019-06-15,"1906","DL",19790,11433,1143302,31295,"DTW",10821,1082106,30852,"BWI","1537",-3.00,0.00,
2,6,15,6,2019-06-15,"1937","DL",19790,10821,1082106,30852,"BWI",11433,1143302,31295,"DTW","0606",6.00,6.00,
2,6,15,6,2019-06-15,"1970","DL",19790,10821,1082106,30852,"BWI",11433,1143302,31295,"DTW","1325",0.00,0.00,
2,6,15,6,2019-06-15,"1975","DL",19790,13487,1348702,31650,"MSP",10821,1082106,30852,"BWI","1759",-3.00,0.00,
2,6,15,6,2019-06-15,"2024","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","1802",0.00,0.00,
